brand,brand_slug,display_name,product_slug,local_image_key,external_name,external_slug,confidence,category,price_reference,description,image_url_external,source
"AL HARAMAIN",al-haramain,"Ahp1015 Amber Oud Blue Edition 100ml",ahp1015-amber-oud-blue-edition-100ml,products/al-haramain/ahp1015-amber-oud-blue-edition-100ml/01.jpg,"Al haramain amber oud gold edition 999.9",al-haramain-al-haramain-amber-oud-gold-edition-99-9,0.58,decants,28500,"Dubái es una ciudad vibrante y culturalmente diversa, llena de aromas y experiencias que capturan su esencia única. Una fragancia que refleja esta esencia es Haramain Amber Oud Gold 999.9, Dubai Edition. Este perfume se despliega como un viaje a través del tiempo y la cultura de Dubái, donde cada nota es un reflejo de su herencia rica y multifacética. Desde las notas de salida de pera, naranja, bergamota y limón, la fragancia evoca la frescura de este dinámico destino. Con notas de melón, jazmín","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Haramain_Amber_Oud_Gold_Edition_99.9_c93dd2f0-0969-44b6-9313-17c9dfa14acc.png?v=1731008469",local-assets+disfragancias
"AL HARAMAIN",al-haramain,"Ahp1053 Laventure Rose1",ahp1053-laventure-rose1,products/al-haramain/ahp1053-laventure-rose1/01.jpg,"Al haramain tanasuk aceite puro",al-haramain-al-haramain-tanasuk-aceite-puro,0.4,,114000,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_b02d041a-5887-4cc5-95ab-192b0ee699cc.jpg?v=1748392786",local-assets+disfragancias
"AL HARAMAIN",al-haramain,"Ahp1485 With Box",ahp1485-with-box,products/al-haramain/ahp1485-with-box/01.jpg,"Al haramain tanasuk aceite puro",al-haramain-al-haramain-tanasuk-aceite-puro,0.4,,114000,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_b02d041a-5887-4cc5-95ab-192b0ee699cc.jpg?v=1748392786",local-assets+disfragancias
"AL HARAMAIN",al-haramain,"Ahp1604 Haramain Laventure 01",ahp1604-haramain-laventure-01,products/al-haramain/ahp1604-haramain-laventure-01/01.jpg,"Al haramain tanasuk aceite puro",al-haramain-al-haramain-tanasuk-aceite-puro,0.48,,114000,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_b02d041a-5887-4cc5-95ab-192b0ee699cc.jpg?v=1748392786",local-assets+disfragancias
"AL HARAMAIN",al-haramain,"Ahp1909 Haramain Laventure Blanche 100ml",ahp1909-haramain-laventure-blanche-100ml,products/al-haramain/ahp1909-haramain-laventure-blanche-100ml/01.jpg,"Al haramain french collection blanche",al-haramain-al-haramain-french-collection-blanche,0.55,decants,23750,"Blanche de Al Haramain Perfumes es una fragancia unisex moderna y sofisticada, diseñada para quienes buscan un equilibrio entre frescura y calidez. Su apertura vibrante combina el dulzor exótico del lichi y la pitahaya con la frescura de la bergamota y un sutil toque especiado de nuez moscada, creando una primera impresión envolvente y única. En su corazón, la suavidad de la rosa y la peonía se fusiona con la calidez de la vainilla, aportando un matiz elegante y ligeramente cremoso. Finalmente, ","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Al_Haramain_Blanche.png?v=1738621186",local-assets+disfragancias
"ARABIYAT",arabiyat,"Arabiyat Prestige Mens Marwa Edp Spray 34 Oz Fragrances 6290361912348",arabiyat-prestige-mens-marwa-edp-spray-34-oz-fragrances-6290361912348,products/arabiyat/arabiyat-prestige-mens-marwa-edp-spray-34-oz-fragrances-6290361912348/01.jpg,"Arabiyat Prestige Marwa",arabiyat-prestige-arabiyat-prestige-marwa,0.54,decants,23750,"Este perfume se encuentra inspirado en Louis Vuitton Imagination. Experimenta la esencia de la sofisticación vibrante con Marwa de Arabiyat Prestige , una fragancia cítrica aromática diseñada para el hombre que busca una presencia fresca, energética y distintiva. Lanzada en 2025 , esta nueva creación promete ser un pilar en el repertorio del caballero contemporáneo. La fragancia se abre con una explosión luminosa y revitalizante de cítricos mediterráneos . La chispeante bergamota de Calabria se ","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/1_8e59bc39-4048-4149-ba09-5bcf83586ae3.jpg?v=1753876993",local-assets+disfragancias
"Ariana Grande",ariana-grande,"290625",290625,products/ariana-grande/290625/01.jpg,"Ariana Grande Mod Vanilla set de regalo navidad",ariana-grande-ariana-grande-mod-vanilla-set-de-regalo-navidad,0.4,,399000,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con ","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Ariana_Grande_Mod_Vanilla_set_de_regalo_navidad.jpg?v=1764863341",local-assets+disfragancias
"Ariana Grande",ariana-grande,"305097",305097,products/ariana-grande/305097/01.jpg,"Ariana Grande Mod Vanilla set de regalo navidad",ariana-grande-ariana-grande-mod-vanilla-set-de-regalo-navidad,0.4,,399000,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con ","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Ariana_Grande_Mod_Vanilla_set_de_regalo_navidad.jpg?v=1764863341",local-assets+disfragancias
"Ariana Grande",ariana-grande,"335865",335865,products/ariana-grande/335865/01.jpg,"Ariana Grande Mod Vanilla set de regalo navidad",ariana-grande-ariana-grande-mod-vanilla-set-de-regalo-navidad,0.4,,399000,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con ","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Ariana_Grande_Mod_Vanilla_set_de_regalo_navidad.jpg?v=1764863341",local-assets+disfragancias
"Ariana Grande",ariana-grande,"353726",353726,products/ariana-grande/353726/01.jpg,"Ariana Grande Mod Vanilla set de regalo navidad",ariana-grande-ariana-grande-mod-vanilla-set-de-regalo-navidad,0.4,,399000,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con ","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Ariana_Grande_Mod_Vanilla_set_de_regalo_navidad.jpg?v=1764863341",local-assets+disfragancias
"Ariana Grande",ariana-grande,"455644",455644,products/ariana-grande/455644/01.jpg,"Ariana Grande Mod Vanilla set de regalo navidad",ariana-grande-ariana-grande-mod-vanilla-set-de-regalo-navidad,0.4,,399000,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con ","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Ariana_Grande_Mod_Vanilla_set_de_regalo_navidad.jpg?v=1764863341",local-assets+disfragancias
"Ariana Grande",ariana-grande,"464725",464725,products/ariana-grande/464725/01.jpg,"Ariana Grande Mod Vanilla set de regalo navidad",ariana-grande-ariana-grande-mod-vanilla-set-de-regalo-navidad,0.4,,399000,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con ","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Ariana_Grande_Mod_Vanilla_set_de_regalo_navidad.jpg?v=1764863341",local-assets+disfragancias
"Ariana Grande",ariana-grande,"464727",464727,products/ariana-grande/464727/01.jpg,"Ariana Grande Mod Vanilla set de regalo navidad",ariana-grande-ariana-grande-mod-vanilla-set-de-regalo-navidad,0.4,,399000,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con ","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Ariana_Grande_Mod_Vanilla_set_de_regalo_navidad.jpg?v=1764863341",local-assets+disfragancias
"Ariana Grande",ariana-grande,"486159",486159,products/ariana-grande/486159/01.jpg,"Ariana Grande Mod Vanilla set de regalo navidad",ariana-grande-ariana-grande-mod-vanilla-set-de-regalo-navidad,0.4,,399000,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con ","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Ariana_Grande_Mod_Vanilla_set_de_regalo_navidad.jpg?v=1764863341",local-assets+disfragancias
"Ariana Grande",ariana-grande,"500872",500872,products/ariana-grande/500872/01.jpg,"Ariana Grande Mod Vanilla set de regalo navidad",ariana-grande-ariana-grande-mod-vanilla-set-de-regalo-navidad,0.4,,399000,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con ","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Ariana_Grande_Mod_Vanilla_set_de_regalo_navidad.jpg?v=1764863341",local-assets+disfragancias
"Armaf",armaf,"200ml",200ml,products/armaf/200ml/01.jpg,"Armaf Club de Nuit Woman Extrait de Parfum",armaf-armaf-club-de-nuit-woman-extrait-de-parfum,0.4,decants,27000,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Armaf_Club_de_Nuit_Woman_Extrait_de_Parfum.jpg?v=1773195609",local-assets+disfragancias
"Armaf",armaf,"2 Ezgif.com Webp To Jpg Converter",2-ezgifcom-webp-to-jpg-converter,products/armaf/2-ezgifcom-webp-to-jpg-converter/01.jpg,"Armaf Club de Nuit Woman Extrait de Parfum",armaf-armaf-club-de-nuit-woman-extrait-de-parfum,0.4,decants,27000,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Armaf_Club_de_Nuit_Woman_Extrait_de_Parfum.jpg?v=1773195609",local-assets+disfragancias
"Armaf",armaf,"35721 11",35721-11,products/armaf/35721-11/01.jpg,"Armaf Club de Nuit Woman Extrait de Parfum",armaf-armaf-club-de-nuit-woman-extrait-de-parfum,0.4,decants,27000,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Armaf_Club_de_Nuit_Woman_Extrait_de_Parfum.jpg?v=1773195609",local-assets+disfragancias
"Armaf",armaf,"35721 13",35721-13,products/armaf/35721-13/01.jpg,"Armaf Club de Nuit Woman Extrait de Parfum",armaf-armaf-club-de-nuit-woman-extrait-de-parfum,0.4,decants,27000,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Armaf_Club_de_Nuit_Woman_Extrait_de_Parfum.jpg?v=1773195609",local-assets+disfragancias
"Armaf",armaf,"35721 3",35721-3,products/armaf/35721-3/01.jpg,"Armaf Club de Nuit Woman Extrait de Parfum",armaf-armaf-club-de-nuit-woman-extrait-de-parfum,0.4,decants,27000,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Armaf_Club_de_Nuit_Woman_Extrait_de_Parfum.jpg?v=1773195609",local-assets+disfragancias
"Armaf",armaf,"514mtbtpnol",514mtbtpnol,products/armaf/514mtbtpnol/01.jpg,"Armaf Club de Nuit Woman Extrait de Parfum",armaf-armaf-club-de-nuit-woman-extrait-de-parfum,0.4,decants,27000,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Armaf_Club_de_Nuit_Woman_Extrait_de_Parfum.jpg?v=1773195609",local-assets+disfragancias
"Armaf",armaf,"61edpq JR1L. UF1000 1000 QL80",61edpq-jr1l-uf1000-1000-ql80,products/armaf/61edpq-jr1l-uf1000-1000-ql80/01.jpg,"Armaf Club de Nuit Woman Extrait de Parfum",armaf-armaf-club-de-nuit-woman-extrait-de-parfum,0.4,decants,27000,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Armaf_Club_de_Nuit_Woman_Extrait_de_Parfum.jpg?v=1773195609",local-assets+disfragancias
"Armaf",armaf,"65",65,products/armaf/65/01.jpg,"Armaf Club de Nuit Woman Extrait de Parfum",armaf-armaf-club-de-nuit-woman-extrait-de-parfum,0.4,decants,27000,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Armaf_Club_de_Nuit_Woman_Extrait_de_Parfum.jpg?v=1773195609",local-assets+disfragancias
"Armaf",armaf,"68",68,products/armaf/68/01.jpg,"Armaf Club de Nuit Woman Extrait de Parfum",armaf-armaf-club-de-nuit-woman-extrait-de-parfum,0.4,decants,27000,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil","https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Armaf_Club_de_Nuit_Woman_Extrait_de_Parfum.jpg?v=1773195609",local-assets+disfragancias
